date,temperature,humidity,pressure,wind_speed,rain,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI
2024-03-05,19.9,29,1017.4,14.6,0.0,46.4,22.325,403.8333333333333,21.35833333333333,14.366666666666667,84.41666666666667,82.5
2024-03-06,20.4,37,1016.2,12.1,0.0,49.43333333333334,21.04583333333333,362.2083333333333,15.8,15.25,105.45833333333331,84.29166666666667
2024-03-07,22.5,57,1014.7,12.4,0.0,60.05833333333334,22.34583333333333,332.5833333333333,16.491666666666667,11.325,98.79166666666669,79.04166666666667
2024-03-08,22.8,49,1016.1,11.7,0.0,56.22916666666666,28.258333333333336,487.5416666666667,24.429166666666664,16.325,97.79166666666669,94.83333333333331
2024-03-09,23.3,40,1016.1,12.4,0.0,60.3625,32.15833333333333,537.125,28.2875,16.566666666666666,95.41666666666669,99.5
2024-03-10,21.8,50,1015.9,11.0,2.2,90.8125,43.98333333333333,631.2916666666666,34.81666666666667,22.891666666666666,84.79166666666667,107.20833333333331
2024-03-11,22.7,71,1016.5,13.7,0.0,56.30416666666667,22.933333333333334,326.0833333333333,14.854166666666666,8.112499999999999,86.75,94.95833333333331
2024-03-12,23.1,82,1016.0,13.3,0.0,38.69583333333333,18.375,302.5,15.820833333333333,8.345833333333333,75.5,69.875
2024-03-13,24.9,57,1014.1,20.6,0.0,91.02083333333331,26.129166666666663,248.04166666666663,11.658333333333331,6.095833333333334,84.75,62.54166666666666
2024-03-14,23.6,30,1014.7,17.0,0.0,130.55833333333334,42.975,358.6666666666667,19.516666666666666,13.508333333333333,91.08333333333331,110.16666666666669
2024-03-15,24.4,36,1014.6,13.3,0.0,48.15,24.945833333333336,418.5416666666667,24.633333333333336,10.245833333333334,89.33333333333333,97.70833333333331
2024-03-16,24.9,36,1014.2,14.3,0.0,59.8875,25.854166666666668,378.5833333333333,22.39583333333333,10.004166666666666,92.375,85.41666666666667
2024-03-17,26.5,29,1014.1,13.6,0.0,48.14166666666667,19.941666666666663,338.2083333333333,17.95,10.775,101.66666666666669,85.20833333333333
2024-03-18,26.5,37,1013.8,12.8,0.0,49.19166666666666,22.179166666666664,390.0,20.85833333333333,12.808333333333332,106.0,90.83333333333331
2024-03-19,26.6,56,1013.2,15.2,0.0,54.85833333333333,16.650000000000002,328.3333333333333,18.975,6.983333333333333,76.91666666666667,67.58333333333333
2024-03-20,25.8,66,1013.1,12.4,0.0,72.42916666666666,22.90833333333333,440.7083333333333,25.683333333333334,9.316666666666666,84.79166666666667,76.0
2024-03-21,26.6,53,1011.1,17.5,0.0,61.34166666666667,25.616666666666664,311.0416666666667,17.037499999999998,5.941666666666666,78.5,75.25
2024-03-22,26.3,70,1008.7,21.0,0.0,56.0875,23.916666666666668,266.8333333333333,11.354166666666666,5.108333333333333,90.41666666666669,80.79166666666667
2024-03-23,25.9,81,1009.3,17.5,0.0,71.0125,22.179166666666664,253.41666666666663,13.125,5.416666666666667,76.375,71.20833333333333
2024-03-24,26.7,73,1009.9,18.1,0.0,58.0625,20.6,250.54166666666663,13.816666666666668,4.979166666666667,71.125,71.29166666666667
2024-03-25,27.1,67,1011.9,15.1,0.0,56.15,20.2875,334.5,18.929166666666667,7.574999999999999,84.58333333333333,76.0
2024-03-26,27.6,66,1011.4,16.5,0.0,40.69166666666667,17.425,287.25,15.370833333333332,5.604166666666667,70.29166666666667,62.5
